session_id,date,subject_id,device_id,test_id,test_condition,recording_start_time,trial_number,marker_index,marker_id,target_key,target_label,marker_start_s,analysis_start_s,marker_end_s,target_settle_time_s,settle_excluded_valid_samples,valid_samples,coordinate_space,paper_qc_status,paper_qc_valid_samples,paper_qc_excluded_samples,paper_qc_mean_gaze_x,paper_qc_mean_gaze_y,paper_qc_gaze_direction_x_normalised,paper_qc_gaze_direction_y_normalised,paper_qc_gaze_direction_x_deg,paper_qc_gaze_direction_y_deg,paper_qc_omae_normalised,paper_qc_precision_rms_normalised,paper_qc_omae_deg,paper_qc_precision_rms_deg,target_x,target_y,mean_gaze_x,mean_gaze_y,target_x_centered,target_y_centered,gaze_direction_x_normalised,gaze_direction_y_normalised,error_x_normalised,error_y_normalised,centroid_error_normalised,omae_normalised,precision_rms_normalised,target_eccentricity_normalised,target_x_deg,target_y_deg,gaze_direction_x_deg,gaze_direction_y_deg,error_x_deg,error_y_deg,centroid_error_deg,omae_deg,precision_rms_deg,target_eccentricity_deg
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,0,top_right_r1,"0.850000,0.150000",top_right,0.0,0.6,2.34,0.6,35,104,normalised,included,104,0,0.8522421104779299,0.14930101405590535,0.35224211047792986,0.35069898594409465,17.283383492462985,9.945673798456502,0.00571726441385156,0.006010130590009893,0.2404813951836683,0.2560941077089157,0.85,0.15,0.8522421104779299,0.14930101405590535,0.35,0.35,0.35224211047792986,0.35069898594409465,0.0022421104779298817,0.0006989859440946489,0.0023485401306524126,0.00571726441385156,0.006010130590009893,0.49497474683058323,17.179865595874652,9.926245506651705,17.283383492462985,9.945673798456502,0.11347591466586725,0.02002447145249676,0.11522916544474582,0.2404813951836683,0.2560941077089157,19.55804506682334
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,1,inner_bottom_right_r1,"0.660000,0.660000",inner_bottom_right,3.0,3.6,5.34,0.6,35,104,normalised,included,104,0,0.6621001203988978,0.6590771087395273,0.16210012039889776,-0.1590771087395273,8.148703762581297,-4.547649543811953,0.005468100721382791,0.005809892420639764,0.22381796560946712,0.23919783383960963,0.66,0.66,0.6621001203988978,0.6590771087395273,0.16000000000000003,-0.16000000000000003,0.16210012039889776,-0.1590771087395273,0.0021001203988977313,0.0009228912604727357,0.002293955964817834,0.005468100721382791,0.005809892420639764,0.22627416997969527,8.044522463335591,-4.573921259900862,8.148703762581297,-4.547649543811953,0.10628964260914384,0.02643888521073617,0.10952853313045309,0.22381796560946712,0.23919783383960963,9.224536194561267
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,2,inner_bottom_left_r1,"0.330000,0.660000",inner_bottom_left,6.0,6.6,8.34,0.6,36,104,normalised,included,104,0,0.3318618892787769,0.6588413335469905,-0.1681381107212231,-0.15884133354699048,-8.447927865100386,-4.540937482246349,0.005362082087807086,0.005577238718851168,0.22481375874457848,0.23794550504941364,0.33,0.66,0.3318618892787769,0.6588413335469905,-0.16999999999999998,-0.16000000000000003,-0.1681381107212231,-0.15884133354699048,0.001861889278776896,0.0011586664530095492,0.0021929750650096502,0.005362082087807086,0.005577238718851168,0.23345235059857505,-8.540104546894366,-4.573921259900862,-8.447927865100386,-4.540937482246349,0.09423249957765092,0.03319334509689301,0.09990774825639018,0.22481375874457848,0.23794550504941364,9.656235306212883
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,3,centre_r1,"0.500000,0.500000",centre,9.0,9.6,11.34,0.6,36,104,normalised,included,104,0,0.5017212517815645,0.49904184802806123,0.001721251781564459,0.0009581519719387699,0.08711467480202649,0.027449029962137467,0.005015240660707946,0.005322761286718749,0.20424653879229349,0.2173942436824453,0.5,0.5,0.5017212517815645,0.49904184802806123,0.0,-0.0,0.001721251781564459,0.0009581519719387699,0.001721251781564459,0.0009581519719387699,0.0019699652019436733,0.005015240660707946,0.005322761286718749,0.0,0.0,-0.0,0.08711467480202649,0.027449029962137467,0.08711467480202649,0.027449029962137467,0.09133681343995392,0.20424653879229349,0.2173942436824453,0.0
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,4,inner_top_left_r1,"0.330000,0.330000",inner_top_left,12.0,12.6,14.34,0.6,36,104,normalised,included,104,0,0.3318892801621583,0.32954401196063815,-0.1681107198378417,0.17045598803936185,-8.446571492705447,4.87143206051059,0.005333016433900013,0.005586496432632172,0.2191792869870501,0.22932751297917314,0.33,0.33,0.3318892801621583,0.32954401196063815,-0.16999999999999998,0.16999999999999998,-0.1681107198378417,0.17045598803936185,0.00188928016215828,0.0004559880393618654,0.0019435289097839256,0.005333016433900013,0.005586496432632172,0.24041630560342614,-8.540104546894366,4.858462919034286,-8.446571492705447,4.87143206051059,0.09561878321889233,0.013063094855594641,0.09650697134293282,0.2191792869870501,0.22932751297917314,9.790231559838404
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,5,inner_top_left_r1,"0.330000,0.330000",inner_top_left,15.0,15.6,17.34,0.6,35,104,normalised,included,104,0,0.33156814554510977,0.3289091289940353,-0.16843185445489023,0.1710908710059647,-8.462473195906206,4.889488470282357,0.005503531317125425,0.005834706567694181,0.22092286814114404,0.2333290883942081,0.33,0.33,0.33156814554510977,0.3289091289940353,-0.16999999999999998,0.16999999999999998,-0.16843185445489023,0.1710908710059647,0.001568145545109756,0.001090871005964722,0.0019102565278784048,0.005503531317125425,0.005834706567694181,0.24041630560342614,-8.540104546894366,4.858462919034286,-8.462473195906206,4.889488470282357,0.07936578980594808,0.031251149218413626,0.08529689572559244,0.22092286814114404,0.2333290883942081,9.790231559838404
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,6,top_left_r1,"0.150000,0.150000",top_left,18.0,18.6,20.34,0.6,35,104,normalised,included,104,0,0.1516849527802536,0.14883428789585695,-0.3483150472197464,0.35116571210414305,-17.10199536311748,9.958645151071584,0.005365357763045953,0.005719244319066475,0.2148414520161796,0.22852133122374116,0.15,0.15,0.1516849527802536,0.14883428789585695,-0.35,0.35,-0.3483150472197464,0.35116571210414305,0.0016849527802536013,0.0011657121041430407,0.0020488900852485806,0.005365357763045953,0.005719244319066475,0.49497474683058323,-17.179865595874652,9.926245506651705,-17.10199536311748,9.958645151071584,0.08527754033490169,0.0333951880656716,0.09158326363186328,0.2148414520161796,0.22852133122374116,19.55804506682334
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,7,bottom_right_r1,"0.850000,0.850000",bottom_right,21.0,21.6,23.34,0.6,36,104,normalised,included,104,0,0.8514049675267769,0.8495578131778401,0.35140496752677686,-0.34955781317784007,17.244746305214072,-9.913953747065602,0.0052811420689043344,0.00570623266992152,0.21026834862270208,0.2330936793651876,0.85,0.85,0.8514049675267769,0.8495578131778401,0.35,-0.35,0.35140496752677686,-0.34955781317784007,0.001404967526776879,0.0004421868221599068,0.001472909683921393,0.0052811420689043344,0.00570623266992152,0.49497474683058323,17.179865595874652,-9.926245506651705,17.244746305214072,-9.913953747065602,0.07110715700610913,0.012667719126623218,0.07222671635770267,0.21026834862270208,0.2330936793651876,19.55804506682334
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,8,inner_top_right_r1,"0.660000,0.330000",inner_top_right,24.0,24.6,26.34,0.6,36,104,normalised,included,104,0,0.6618862663322034,0.32858592917452584,0.16188626633220338,0.17141407082547416,8.138097508771601,4.8986800715992525,0.005422958408099699,0.005384217904317027,0.21726011890689054,0.21531938887617955,0.66,0.33,0.6618862663322034,0.32858592917452584,0.16000000000000003,0.16999999999999998,0.16188626633220338,0.17141407082547416,0.0018862663322033457,0.0014140708254741785,0.00235745561473829,0.005422958408099699,0.005384217904317027,0.23345235059857505,8.044522463335591,4.858462919034286,8.138097508771601,4.8986800715992525,0.09546624987571752,0.04051013836579943,0.1037056898203628,0.21726011890689054,0.21531938887617955,9.365177315044619
2026_01_01/000,2026_01_01,SYNTHETIC_P01,SYNTHETIC_GP3,Synthetic longitudinal accuracy,synthetic_standard,1767261600.0,1,9,bottom_right_r2,"0.850000,0.850000",bottom_right,27.0,27.6,29.34,0.6,36,104,normalised,included,104,0,0.8519127703038192,0.8489344377981419,0.3519127703038192,-0.3489344377981419,17.268185179864194,-9.896623803706932,0.00570848584850162,0.005986088562210212,0.2382885595614584,0.25420120088175835,0.85,0.85,0.8519127703038192,0.8489344377981419,0.35,-0.35,0.3519127703038192,-0.3489344377981419,0.0019127703038192,0.0010655622018580502,0.0021895463094443036,0.00570848584850162,0.005986088562210212,0.49497474683058323,17.179865595874652,-9.926245506651705,17.268185179864194,-9.896623803706932,0.0968076458130893,0.030526105599230524,0.10150645232682991,0.2382885595614584,0.25420120088175835,19.55804506682334
